"CID","Result","query"
"31242","COLORLESS OR WHITE NEEDLES; TEND TO YELLOW ON EXPOSURE TO LIGHT.
POWERFUL WOODY-PHENOLIC, YET SOMEWHAT SWEET.
MEDICINAL, PHENOLIC.
Reported BPs:  217.9 °C; 218.00 to 219.00 °C. @ 760.00 mm Hg.
Reported MPs:  46 °C; 44.00 to 46.00 °C. @ 760.00 mm Hg","1-ETHYL-4-HYDROXYBENZENE"
"32154","OFF-WHITE SOLID.
WHITE CRYSTALS.
NEEDLES.
White powder.
ODORLESS.
Reported MPs:  155-156 °C; Decomposes above melting point; in solution for 28 days (pH 5-9, 20 °C) < 10% loss.","PRONAMIDE"
"3224","Brown crystals ... [Note: Technical product is a tan, waxy, isomer mixture]..
Similar to terpene..
... Slight, sulfur dioxide odor ....
Reported BPs:  Decomposes (NIOSH, 2024); 106 °C at 0.7 mm Hg (with partial decomposition); decomposes; Decomposes.
Reported MPs:  158 to 212 °F Range of values given is for a mixture of isomers (a isomer 228.7 °F; b isomer 415.9 °F). (EPA, 1998); 106 °C (pure); MP: 70-100 °C; stable toward dil mineral acids; hydrolyzed rapidly by alkalies; commercial product is a mixture of alpha-isomer, MP: 108-110 °C, and beta-isomer, MP: 208-210 °C /Technical/; 106 °C (pure), 70-100 °C (technical); 223 °F.
When heated to decomposition it emits toxic fumes of /hydrogen chloride and sulfoxides/.","ENDOSULFAN"
"3347","Clear yellow viscous liquid.
Mild odor.
Reported BPs:  Decomposes.
Reported MPs:  39.5 - 53.7 °C.
When heated to decomposition it emits toxic fumes of /hydrogen chloride, nitrogen oxides and hydrogen cyanide/.","FENVALERATE"
"335","Crystals in liquid becoming dark with age and exposure to light and air.
White crystals [Note: A liquid above 88 degrees F].
Colorless, yellowish, or pinkish crystals.
Phenolic odor.
Sweet, tarry odor.
Reported BPs:  376 °F at 760 mmHg (EPA, 1998); 191.0 °C; 191.00 to 192.00 °C. @ 760.00 mm Hg; 191 °C; 376 °F.
Reported MPs:  88 °F (EPA, 1998); 31.0 °C; 29.8 °C; 31 °C; 88 °F","O-CRESOL"
"3352","White solid.
Reported MPs:  200-201 °C; 201 °C","FIPRONIL"
"33599","Clear liquid.
Mild odor.
Reported BPs:  482 to 495 °F at 4 mmHg (NTP, 1992); BP: 253 °C at 4 mm Hg; at 0.5kPa: 250-257 °C.
Reported MPs:  -58 °F (NTP, 1992); -50 °C.
When heated to decomposition it emits acrid smoke and irritating vapors.","1,2-BENZENEDICARBOXYLIC ACID, DIISODECYL ESTER"
"33775","White to greyish brown, crystalline powder.
Crystals from alcohol.
Odorless.
Reported MPs:  184 °C","NORFLURAZON"
"3589","White to light tan waxy solid.
White to light tan crystals..
Camphor-like odor.
Reported BPs:  Decomposes (NTP, 1992); 145 °C @ 1.5 MM HG; 293 °F (decomposes); 293 °F (Decomposes).
Reported MPs:  203 to 205 °F (NTP, 1992); 95-96 °C; 203 °F.
Decomposition products: Toxic gases and vapors which include: hydrogen chloride, and carbon monoxide..
160 °C","HEPTACHLOR"
"36400","Colorless mobile oil.
Lower chlorinated Aroclors (1221, 1232, 1016, 1242, and 1248) are colorless mobile oils. Increasing chlorine content results in mixtures taking on the consistency of viscous liquids (Aroclor 1254) or sticky resins (Aroclors 1260 and 1262). Arclors 1268 and 1270 are white powders..
Practically odorless; mild aromatic odor.
Reported BPs:  644 to 707 °F at 760 mmHg (NTP, 1992).
Reported MPs:  340-375 °C.
When heated to decomposition they emit toxic fumes of chlorine. /Polychlorinated biphenyls/","AROCLOR 1248"
"36462","Crystals from methanol.
Reported MPs:  236-251 °C; 236 - 251 °C","ETOPOSIDE"
"37123","Colorless crystals.
Reported BPs:  BP: 257 °C at 300 mm Hg.
Reported MPs:  228 °C; Off-white to yellow crystals; Melting point: 210-230 °C, with decomposition /technical diflubenzuron/; 230 - 232 °C.
When heated to decomp it emits very toxic fumes of NOx and Cl-.","DIFLUBENZURON"
"37517","Colorless crystals.
White crystals.
Odorless.
Reported MPs:  approx 136 °C; 136 °C.
DT50 1-7 days (pH 7), <1 hr (pH 9). Aqueous solns degraded by uv light..
When heated to decomposition it emits very toxic fumes of /nitrogen oxides & hydrogen chloride/.","IPRODIONE"
"38018","Light yellow, soft, sticky resin.
Reported BPs:  725 to 788 °F at 760 mmHg (NTP, 1992).
When heated to decomposition they emit highly toxic fumes of chlorine. /Polychlorinated biphenyls/","AROCLOR 1260"
"38221","OFF-WHITE TO VIOLET POWDER.
Reported MPs:  372 to 378 °F (decomposes) (NTP, 1992)","2,4-DIAMINOANISOLE SULFATE"
"38479","Orange-yellow crystal solid.
Faint, nutty odor.
Reported BPs:  Decomposes on distillation.
Reported MPs:  56-57 °C.
When heated to decomposition it emits toxic fumes of nitroxides.","PENDIMETHALIN"
"39385","Colorless solid.
Characteristic odor.
Reported MPs:  180.1 °F (NTP, 1992); 82.3 °C.
When heated to decomposition it emits very toxic fumes of /hydrogen chloride & nitrogen oxides/.","TRIADIMEFON"
"3958","Reported BPs:  533.8 ºC at 760 mm Hg.
Reported MPs:  192-194; 166 - 168 °C","LORAZEPAM"
"39676","Colorless crystals.
Crystalline solid.
Colorless to white crystalline solid.
Slight aromatic odor.
Reported BPs:  BP: 131 °C at 0.05 mm Hg.
Reported MPs:  108 °C.
When heated to decomposition it emits very toxic fumes of /hydrogen chloride/ and nitrous oxides.","VINCLOZOLIN"
"39929","Crystals from 2,2,4-trimethylpentane.
Reported MPs:  227-228 °C.
When heated to decomposition it emits toxic fumes of Chloride.","2,3,7,8-TETRACHLORODIBENZOFURAN"
"4004","Colorless or slightly yellow.
Clear colorless liquid when pure.
Deep-brown to yellow liquid ... [Note: A solid below 37 degrees F].
Skunk-like odor.
Garlic-like odor.
Mercaptan odor.
Reported BPs:  313 to 315 °F at 0.7 mmHg (decomposes) (NTP, 1992); 156-157 °C at 7.00E-01 mm Hg; BP: 156-157 °C at 0.7 mm Hg; 140 °F (decomposes); 140 °F (Decomposes).
Reported MPs:  37.1 °F (NTP, 1992); 2.8 °C; 3.85 °C; 3 °C; 37.1 °F; 37 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides, sulfur oxides, oxides of phosphorus.
Above 100 °C, decomposes rapidly and explosion may be induced..
Thermal decomposition (e.g., fire) may produce dimethyl sulfide, sulfur dioxide, carbon monoxide, carbon dioxide, phosphorus pentoxide, nitrogen oxides..
When heated to decomposition it emits toxic fumes of /phosphoxides and sulfoxides/.","MALATHION"
"40326","Colorless crystals to a viscous liquid; Color, white to pale yellow.
Pure permethrin cis-isomer forms colorless crystals at room temperature but a mixture of cis and trans isomers normally occurs as a liquid, with its appearance depending on the ratio of isomers. Pure permethrin (40:60) is a colorless, viscous liquid, whereas the technical compound is a yellow to yellow-brown viscous liquid..
Reported BPs:  220 °C at 5.00E-02 mm Hg; >290 °C at 760 mm Hg; BP: 200 °C at 0.1 mm Hg.
Reported MPs:  34 °C; <20 °C (OECD Method 102); MP: cis-isomers, 63-65 °C; trans-isomers, 44-47 °C; 34-39 °C.
When heated to decomp it emits toxic fumes of /hydrogen chloride/.","PERMETHRIN"
"40470","Light yellow, viscous liquid.
Colorless to pale-yellow, viscous liquid or solid (below 50 degrees F).
Mild hydrocarbon odor.
Practically odorless.
Reported BPs:  Distillation range 365-390 °C; 689-734 °F.
Reported MPs:  50 °F.
When heated to decomposition they emit toxic fumes of chlorine. /Polychlorinated biphenyls/","AROCLOR 1254"
"40813","Yellow, resembles cornmeal or yellow-green powder.
Reported MPs:  Decomposes at 433 °F (EPA, 1998); 223-225 °C (decomp).
When heated to decomposition it emits toxic fumes of /nitrogen oxides/.","PYRIMINIL"
"4109","White crystalline solid.
Slightly sulfurous.
Reported MPs:  172 to 174 °F (EPA, 1998); 78-79 °C; 78 °C; 172 °F.
When heated to decomposition it emits very toxic fumes of /nitrogen oxides & sulfur oxides/..
... /Methomyl/ decomposes rapidly in alkaline solns & in moist soils..
DT50 following leaf application /is about/ 3-5 days. Rapidly degraded to carbon dioxide & acetonitrile with incorporation into natural plant components.","METHOMYL"
"4115","Colorless crystals (technical, grey powder).
Dimorphic crystals.
Crystals from dilute alcohol.
White to light yellow solid.
For more Color/Form (Complete) data for METHOXYCHLOR (7 total), please visit the HSDB record page..
Slight, fruity odor.
Reported BPs:  Decomposes (NTP, 1992); decomposes; Decomposes.
Reported MPs:  187 to 190 °F (NTP, 1992); 87 °C; MP: 172 °F (77.78 °C); MP: 89 °C (technical, 77 °C); 89 °C; 171 °F.
... When heated to decomp, it emits highly toxic fumes of /hydrogen chloride/ ..
Toxic gases and vapors (such as hydrogen chloride and carbon monoxide) may be released when methoxychlor decomposes.","METHOXYCHLOR"
"4130","Crystals.
White crystalline solid.
Crystals from cold methanol.
White to tan, crystalline solid or powder [Note: The commercial product in xylene is a tan liquid].
Colorless crystals.
Pungent, garlic-like odor.
Odorless.
Reported BPs:  246 °F at 0.13 mmHg (NTP, 1992); 154 °C at 136 Pa; 289 °F.
Reported MPs:  99 to 100 °F (EPA, 1998); 35.8 °C; MP: 37-38 °C; 35-38 °C; 99 °F.
When heated to decomp it emits very toxic fumes of /nitrogen oxides, phosphorous oxides, and sulfur oxides/..
120 °C","METHYL PARATHION"
"42128","Reported MPs:  383 to 385 °F (NTP, 1992); 196-196.5 °C","2,3,4,7,8-PENTACHLORODIBENZOFURAN"
"43226","Reported MPs:  117 - 119 °C","FENARIMOL"
"441325","Crystalline powder; crystals from acetone.
Reported MPs:  156 °C","AMIODARONE HYDROCHLORIDE"
"4421","PALE BUFF, CRYSTALLINE POWDER.
WHITE TO SLIGHTLY YELLOW, CRYSTALLINE POWDER.
ODORLESS.
Reported MPs:  444 to 446 °F (NTP, 1992); 229.5 °C; 229-230 °C.
When heated to decomposition it emits toxic fumes of nitroxides.","NALIDIXIC ACID"
"4485","Yellow crystals.
Reported MPs:  342 to 345 °F (NTP, 1992); 172-174 °C; 172 - 174 °C.
When heated to decomposition, it emits toxic fumes of /nitrogen oxides/.","Nifedipine"
"448537","White crystalline powder.
Small plates from benzene.
Odorless.
Reported MPs:  336 to 342 °F (NTP, 1992); 172; 169-172 °C.
When heated to decomposition it emits acrid smoke and fumes.","DIETHYLSTILBESTROL"
"4616","Crystals from alcohol.
CREAMY WHITE TO PALE-YELLOW POWDER.
PRACTICALLY ODORLESS.
Reported MPs:  401 to 403 °F (NTP, 1992); 205-206 °C; 205 - 206 °C","OXAZEPAM"
"4618","Colorless liquid.
Yellow oil.
Reported BPs:  223 °F at 0.01 mmHg (NTP, 1992); 106 °C @ 0.01 mm Hg.
Reported MPs:  less than 14 °F (NTP, 1992); <-20 °C.
DT50 (est.) 107 days (pH 4), 46 days (pH 7), 2 days (pH 9) (22 °C)..
When heated to decomposition it emits very toxic fumes of /phosphorous and sulfur oxides/.","OXYDEMETON METHYL"
"4641","WHITE TO YELLOWISH WHITE, CRYSTALLINE POWDER.
ODORLESS.
Reported MPs:  96 °C","OXYPHENBUTAZONE"
"4735","Crystallizes as colorless plates from water.
Reported MPs:  186 °C (decomposes); Decomposes at 186 °C; 186.0 °C (decomposes)","pentamidine"
"47576","Crystals from 4-methylpentanone.
Reported MPs:  146; 146 °C; 148-152 °C.
When heated to decomposition it emits toxic fumes of /hydrogen chloride and nitrogen oxides/.","KETOCONAZOLE"
"4767","Colorless liquid.
Pale yellow to yellow-brown clear liquid.
Faint characteristic odor.
Reported BPs:  >290 °C.
When heated to decomposition it emits acrid smoke and fumes. /(+)-cis,trans-Phenothrin/","PHENOTHRIN"
"4933","White crystalline solid /Purity not provided/.
Colorless crystals /Purity not provided/.
Light brown solid (pure).
Dark oily liquid.
Solid, white-gray.
Odorless.
Reported BPs:  351 °C.
Reported MPs:  92 °C; 92-93 °C.
When heated to decomposition it emits very toxic fumes of /hydrogen chloride and nitrogen oxides./","PROPANIL"
"5054","White needle-like crystals.
Needles from benzene; platelets from water.
Rhombic tablets and pyramids.
Platelets from ethanol. Very white crystals.
For more Color/Form (Complete) data for RESORCINOL (6 total), please visit the HSDB record page..
Faint, characteristic odor.
Reported BPs:  531 to 536 °F at 760 mmHg (NTP, 1992); 280 °C, but volatilizes at lower temperature and is slightly volatile with steam; 178.00 °C. @ 16.00 mm Hg; 280 °C; 531 °F.
Reported MPs:  228 to 232 °F (NTP, 1992); 109.8 °C; Heat of fusion at mp: 21.0 kJ/mol; Heat of vaporization (kJ/mol): 78.2 at 110 °C, 75.2 at 150 °C, 72.0 at 190 °C; 111 °C; 110 °C; 228-232 °F; 228 °F.
When heated to decomposition it emits acrid smoke and irritating fumes.","RESORCINOL"
"51605","Crystals from petroleum ether.
Colorless to white crystals.
Reported MPs:  53-54 °C.
When heated to decomposition it emits toxic vapors of nitrogen oxides.","FENOXYCARB"
"5216","White solid.
Colorless powder.
Crystals from ethanol or methyl Cellosolve.
Reported MPs:  437 to 441 °F (NTP, 1992); 225 to 227 °C (decomp); 437-441 °F.
When heated to decomposition it emits very toxic fumes of /hydrogen chloride/ and nitrous oxides..
225-227 °C","SIMAZINE"
"5281303","Microcrystalline powder.
Yellow green powder.
Strong garlic/sulfur odor.
Reported MPs:  154-158 °C","Azadirachtin"
"5284373","Forms white prismatic crystals from acetone.
Reported BPs:  838.63.
Reported MPs:  298 to 304 °F (NTP, 1992); 148-151 °C.
When heated to decomposition it emits toxic fumes of /nitrogen oxides/.","CYCLOSPORIN A"
"5284461","White needles from benzene & Skellysolve B; acetate deriv: amorphous solid from ether & pentane.
Crystals.
White needles.
Reported MPs:  151-152 °C.
Hazardous decomposition products formed under fire conditions. - Carbon oxides","T-2 TOXIN"
"5284469","Yellow waxy solid..
Amber, waxy solid..
Pleasant piney odor.
Mild odor of chlorine and camphor.
Mild, turpentine-like odor.
Mild, piney, chlorine- and camphor-like odor..
Reported BPs:  Decomposes (NTP, 1992); Decomposes; Decomposes near boiling point; decomposes.
Reported MPs:  149 to 194 °F (EPA, 1998); 65-90 °C; 149-194 °F","CAMPHECHLOR"
"5284484","Powder or crystals from chloroform + alcohol.
Light-tan solid.
WHITE POWDER OR CRYSTALS.
Pale yellow powder.
Practically odorless.
Reported BPs:  decomposes.
Reported MPs:  157 °C (decomposes); 314.6 °F.
Decomposes at 157 °C without melting..
Zineb decomposes on storage primarily due to exposure to moisture. Products of the decomposition were identified as ethylenethiuram monosulfide, zinc sulfide, carbon disulfide and ethylenethiourea..
Decomposes before melting. Decomposes gradually, accelerated by exposure to moisture, heat or air..
When heated to decomposition it emits very toxic fumes of /nitroxide, zinc oxide/, and /sulfoxides/..
157 °C","ZINEB"
"5327","Crystals from dioxane-water.
Creamy-white powder or crystals from dioxan.
White or yellowish-white powder.
Odorless.
Reported MPs:  387 to 392 °F (NTP, 1992); 198.5 °C; 176 °C (also reported as mp 178-179 °C; mp 198-199 °C; mp 205-207 °C)","SULFAMETHAZINE"
"5329","Yellow-white powder.
Almost white.
Crystals from dilute ethanol.
WHITE TO OFF-WHITE CRYSTALLINE POWDER.
Colorless crystalline powder.
Odorless.
PRACTICALLY ODORLESS.
Reported MPs:  333 °F (NTP, 1992); 167 °C; MP: 209-210 °C; crystals from alcohol /N4-Acetylsulfamethoxazole/; MP: 171 °C.
When heated to decomposition it emits very toxic fumes of nitroxides and sulfoxides.","SULFAMETHOXAZOLE"
"5352425","Reported BPs:  3164 °F at 760 mmHg (NTP, 1992); 1740 °C; 3164 °F.
Reported MPs:  621.5 °F (NTP, 1992); 621 °F; 327.5 °C; 621.5 °F","LEAD"
"5359596","IT EXISTS IN THREE ALLOTROPIC FORMS, THE YELLOW (ALPHA), BLACK (BETA) AND GREY (GAMMA) FORMS.
Silver-gray or tin-white, brittle ... solid..
Allotropic forms: alpha-form, metallic, steel-grey, shiny, brittle, rhombohedral crystal structure; beta-form, dark gray, amorphous solid.
Yellow, and gray or metallic.
... Odorless ....
Reported BPs:  1135 °F at 760 mmHg (sublimes) (USCG, 1999); 1135 °F (sublimes); Sublimes.
Reported MPs:  1135 °F (Sublimes) (NIOSH, 2024); 1135 °F (Sublimes); 1135 °F (sublimes).
When arsenic is heated in air it will burn and form a white smoke consisting of arsenic trioxide (As2O3)..
DANGEROUS WHEN HEATED TO DECOMP ... IT EMITS TOXIC FUMES OF ARSENIC /SRP: INCLUDING ARSINE/. /ARSENIC CMPD/","ARSENIC"
"5366415","White crystals.
White crystalline solid.
Reported BPs:  BP: 110 °C /Commercial product/.
Reported MPs:  Decomposes without melting.
When heated to decomposition, it emits very toxic fumes of /nitrogen oxides, sulfur oxides, and disodium oxide/...","METHAM SODIUM"
"5429","Monoclinic needles (/crystalline structure is/ lamellar twining on 001 /axis/) from water.
White powder or monoclinic needles.
Reported BPs:  Sublimes at 554-563 °F (NTP, 1992); Sublimes 290-295 °C.
Reported MPs:  675 °F (NTP, 1992); 357 °C.
Hazardous decomposition products formed under fire conditions - Carbon oxides, nitrogen oxides (NOx)..
Forms salts which are decomposed by water, and compounds with bases which are more stable.","THEOBROMINE"
"5455","White crystalline powder.
Colorless to yellow, crystalline solid. (Note: commercial pesticide product may be dyed blue.).
Characteristic odor.
Reported BPs:  264 °F at 20 mmHg (NTP, 1992); 129 °C at 20 mm Hg; at 2.6kPa: 129 °C; 264 °F at 20 mmHg; Decomposes.
Reported MPs:  311 to 313 °F (NTP, 1992); 155-156 °C; MP: 146 °C /Commercial grade/; 312 °F","THIRAM"
"5505","WHITE OR PRACTICALLY WHITE CRYSTALLINE POWDER.
Crystals.
Reported MPs:  262 to 264 °F (NTP, 1992); 128.5 °C; 128.5-129.5 °C; MP: 41-43 °C; when anhyd, mp range is 130-133 °C /Sodium salt tetrahydrate/","TOLBUTAMIDE"
"5569","Yellow crystals.
YELLOW-ORANGE PRISMS.
Orange crystalline solid.
No appreciable odor.
Reported BPs:  Decomposes (NTP, 1992); BP: 139-140 °C at 4.2 mm Hg; at 0.5kPa: 139-140 °C.
Reported MPs:  115 to 117 °F (NTP, 1992); 42 °C; MP: 48.5-49 °C (technical >95%); 49 °C.
When heated to decomposition it emits toxic fumes of /hydrogen fluoride and nitrogen oxides/..
Susceptible to decomposition by ultraviolet radiation..
202 °C","TRIFLURALIN"
"590836","Colorless liquid.
Reported BPs:  172 °F at 760 mmHg (USCG, 1999); BP: 252 °C at 5 mm Hg; at 0.7kPa: 244-252 °C.
Reported MPs:  -48 °C; -43 °C.
When heated to decomposition it emits acrid smoke and irritating vapors.","1,2-BENZENEDICARBOXYLIC ACID, DIISONONYL ESTER"
"5934","When heated to decomposition it emits toxic fumes of /nitrogen oxides/.","3'-methyl-4-dimethylaminoazobenzene"
"5943","Liquid.
Colorless, clear, heavy liquid.
Colorless liquid.
Sweet.
Characteristic, ether-like odor.
Sweetish, distinctive odor.
Characteristic non-irritant odor.
Reported BPs:  170.1 °F at 760 mmHg (NTP, 1992); 76.7 °C; 76.80 °C. @ 760.00 mm Hg; 170.1 °F; 170 °F.
Reported MPs:  -9 °F (NTP, 1992); -22.2 °C; 28.6 °C; -23 °C; -9 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides, hydrogen chloride gas..
When heated to decomposition it emits toxic fumes of /chloride/ and phosgene..
In contact with various types of fire, decomposes into carbon monoxide and hydrogen chloride..
... In presence of water at high temperature, gives hydrochloric acid and other decomposition products.","CARBON TETRACHLORIDE"
"5948","A liquid..
Reported BPs:  112.5-113.5 @ 8 mm Hg.
When heated to decomposition it emits acrid smoke & irritating fumes.","TRIBUTYLTIN"
"6129","Colorless to light tan crystals.
White or gray ... solid..
... Odorless ....
Reported BPs:  Decomposes (NIOSH, 2024); Decomposes; decomposes.
Reported MPs:  288 °F (USCG, 1999); 145 °C; 142 °C; 293 °F.
When heated to decomposition it emits toxic fumes of /nitrogen oxides/..
...Decomposes below boiling point.","CARBARYL"
"61444","Reported BPs:  1355 °F at 760 mmHg (decomposes) (NTP, 1992); 420 °C.
Reported MPs:  206.2 °F (NTP, 1992); 96.8 °C","Cobalt sulfate heptahydrate"
"6212","Highly refractive, nonflammable, heavy, very volatile liquid.
Clear, colorless liquid.
Colorless, highly refractive, heavy volatile liquid..
Pleasant, etheric, nonirritating.
Pleasant odor.
Odor threshold: 205-307 ppm.
Characteristic odor.
Reported BPs:  143 °F at 760 mmHg (EPA, 1998); 61.12 °C; 61.00 to 62.00 °C. @ 760.00 mm Hg; 62 °C; 143 °F.
Reported MPs:  -82.3 °F (EPA, 1998); -63.47 °C; -63.2 °C; -64 °C; -82 °F.
When heated to decomposition forms phosgene gas..
The products of oxidative breakdown include phosgene, hydrogen chloride, chlorine, carbon dioxide, and water..
On prolonged heating with water at 225 °C, decomp to formic acid, carbon monoxide, and hydrogen chloride occurs..
Hazardous decomposition products formed under fire conditions. - Carbon oxides, Hydrogen chloride gas.
...If involved in a fire, reacts to produce hydrogen chloride and phosgene.","CHLOROFORM"
"6230","White crystalline powder.
Crystals from ethyl acetate.
ODORLESS.
Reported MPs:  202-208C; 204 °C; Crystals from methylene chloride and hexane; max absorption: 240 nm (e = 18,690); MP: 161-162 °C /Norethindrone acetate/; 203.5 °C; 397.4 °F.
When heated to decomposition, it emits acrid smoke and fumes.","NORETHISTERONE"
"6294","Crystalline solid from petroleum ether.
White solid.
Reported BPs:  379 °F at 760 mmHg (NTP, 1992); 193 °C at 1 mm Hg.
Reported MPs:  228 to 230 °F (NTP, 1992); 109-110 °C.
When heated to decomp, emits highly toxic fumes of /hydrogen chloride/.","DDD"
"6344","Colorless liquid [Note: A gas above 104 degrees F].
Colorless, volatile liquid.
Sweet, pleasant odor, like chloroform.
Chloroform like odor.
Penetrating ether-like odor.
Slightly sweet smell, similar to that of trichloromethane.
Reported BPs:  103.6 °F at 760 mmHg (NTP, 1992); 39.75 °C at 760 mm Hg; 40 °C; 104 °F.
Reported MPs:  -142.1 °F (NTP, 1992); -95 °C; -96.8 °C; -97 °C; -139 °F.
It can be decomposed by contact with hot surfaces and open flame, and then yield toxic fumes that are irritating and give warning of their presence. When heated to decomposition it emits highly toxic fumes of phosgene and /hydrogen chloride/.","DICHLOROMETHANE"
"6348","Mobile ... liquid.
Clear, colorless or faintly yellow liquid.
Purest distillates have sweet, pleasing, and ethereal odor ... usual commercial and reagent grades are foul smelling.
When pure, carbon disulfide has sweetish aromatic odor similar to that of chloroform..
Reported BPs:  116 °F at 760 mmHg (EPA, 1998); 46.2 °C; 46 °C; 116 °F.
Reported MPs:  -167 °F (EPA, 1998); -111.7 °C; -111.6 °C; -111 °C; -169 °F.
Decomposes on standing for a long time..
When heated to decompositon it emits highly toxic fumes of /sulfur oxides/..
May explosively decompose on shock, friction, or concussion..
Hazardous decomposition products formed under fire conditions: Carbon oxides, sulfur oxides","CARBON DISULFIDE"
"6358","Colorless liquid.
Reported BPs:  59-60 °C; 138 °F.
Reported MPs:  -89.0 °C; Heat of fusion at melting point = 6.527X10+6 J/kmol; -128 °F.
When heated to decomposition it emits toxic fumes of /hydrogen bromide/.","2-BROMOPROPANE"
"6372","Colorless gas ... [Note: Shipped as a liquefied compressed gas].
Nearly odorless.
Like carbon tetrachloride.
... Faint, sweetish odor ....
Reported BPs:  -40.9 °F at 760 mmHg (USCG, 1999); -40.8 °C; -41 °C; -41 °F.
Reported MPs:  -231 °F (NIOSH, 2024); -157.42 °C; -146 °C; ""-231 °F""; -231 °F.
Decomposes on contact with hot surfaces or flames. This produces toxic and corrosive gases including hydrogen chloride, phosgene, hydrogen fluoride and carbonyl fluoride..
Under certain conditions, /chlorofluorocarbon/ vapors may decompose on contact with flames or hot surfaces, creating the potential hazard of inhalation of toxic decomposition products. /Chlorofluorocarbon/.
The appearance of toxic decomposition products serves as warning of the occurrence of thermal decompositon and detection of a sharp acrid odor warns of the presence of these products. /Fluorocarbons/","CHLORODIFLUOROMETHANE"
"6406","Colorless liquid.
Distinct strong cyanide odor.
The pure compound is practically odorless but usually has an odor of bitter almonds because of traces of hydrogen cyanide..
Characteristic odor.
Reported BPs:  180 °F at 23 mmHg (EPA, 1998); 171 °C; 95 °C; BP: 82 °C at 23 mm Hg; 203 °F.
Reported MPs:  -2.2 °F (EPA, 1998); -19 °C; -4 °F.
When heated to decomposition it emits toxic fumes of /hydrogen cyanide/..
DECOMPOSES READILY TO EMIT HYDROGEN CYANIDE GAS, WHICH IS FLAMMABLE.","2-METHYLLACTONITRILE"
"6564","Colorless liquid.
Sweet.
Chloroform-like odor..
Reported BPs:  203 to 205 °F at 760 mmHg (NTP, 1992); 96.4 °C; (-3.7 °C at 10 mm Hg); 96 °C; 206 °F.
Reported MPs:  -148 °F (NTP, 1992); -100.4 °C; -100 °C; -149 °F.
When heated to decomposition it emits toxic fumes of /hydrogen chloride/.","1,2-DICHLOROPROPANE"
"657298","White crystalline powder of starch-like appearance to eye and to touch.
Reported MPs:  426 to 430 °F (NTP, 1992); 219 °C; 219-221 °C.
When heated to decomposition /temperature unspecified/, propylthiouracil emits toxic fumes of nitrogen oxide and sulfur oxide..
When heated to decomp ... emits very toxic fumes of /sulfur oxides and nitrogen oxides/.","PROPYLTHIOURACIL"
"6575","Colorless liquid (unless dyed blue).
Stable, low-boiling, colorless, photoreactive liquid.
Ethereal odor.
Sweet odor.
Characteristic odor resembling that of chloroform.
Reported BPs:  189 °F at 760 mmHg (NTP, 1992); 87.2 °C; Dielectric constant at 16 °C: 3.42; coefficient of cubic expansion: 0.00119 (at 0-40 °C); heat of formation: -42.3 kJ/mol (liquid), -7.78 kJ/mol (vapor); latent heat of vaporization: 238 kJ/kg (at boiling point); 87 °C; 189 °F.
Reported MPs:  -99 °F (NTP, 1992); -84.7 °C; -84.8 °C; -86 °C; -99 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides, hydrogen chloride gas..
... Dichloroacetylene /is/ a trichloroethylene combustion product formed under conditions of high alkalinity or temperature during volatilization of trichloroethylene ... ..
Decomposition of trichloroethylene, due to contact with hot metal or ultraviolet radiation, forms hazardous products, including chlorine gas, hydrogen chloride, and phosgene ... Slowly decomposed by light in presence of moisture, with formation of hydrochloric acid..
When heated to decomposition it emits toxic fumes of /hydrogens of chloride and hydrogens of fluoride/..
Slowly dec (with formn of HCl) by light in the presence of moisture.","TRICHLOROETHYLENE"
"6618","Crystals from isopropyl alcohol.
White, crystalline powder.
Odorless.
Reported BPs:  ~316 °C (decomposes at 200-300 °C).
Reported MPs:  356 to 363 °F (NTP, 1992); 179 °C; Bromine content = 58.4%; specific gravity = 2.17; melting point = 179-181 °C /Commercial product/.
When heated to decomposition it emits toxic vapors of Bromine.","2,2',6,6'-TETRABROMO-4,4'-ISOPROPYLIDENEDIPHENOL"
"6623","Crystallizes as prisms from dil acetic acid and as needles from water.
White flakes.
Crystals or flakes.
White to light brown solid flakes or powder.
Mild phenolic odor.
Weak medicine odor.
Reported BPs:  428 °F at 4 mmHg (NTP, 1992); 360.5 °C at 760 mm Hg; BP: 220 °C at 4 mm Hg; at 1.7kPa: 250-252 °C; 428 °F.
Reported MPs:  307 to 313 °F (NTP, 1992); 160 °C; MP: 150-155 °C (solidification range); 156 - 157 °C; 150-157 °C; 307-313 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides..
Decomposes above 8 mm pressure when heated above 220 °C..
When heated to decomposition it emits acrid and irritating fumes.","4,4'-ISOPROPYLIDENEDIPHENOL"
"6643","White crystals.
Colorless needles.
Reported BPs:  504.5 °F at 760 mmHg ; 280 °F at 15 mmHg; 491-513 °F (NTP, 1992); 262.5 °C; Boiling point: 248-250 °C at 740 mm Hg; 138.5 °C at 15 mm Hg; 112-120 °C at 3 mm Hg.
Reported MPs:  190 to 205 °F (NTP, 1992); 94-95 °C","P-TERT-AMYLPHENOL"
